FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY,DEP_AMORT_EXP_OPS,CASH,MARKETABLE_SEC,OTH_CURR_ASSETS,TOT_CURR_ASSETS,LIMITED_USE_CASH,LIMITED_USE_INV,LIMITED_USE_OTHER_ASSETS,TOT_LIMITED_USE_ASSETS,TOT_PPE,ACCU_DEP_AMORT,NET_TOT_PPE,CONST_IN_PROGRESS,TOT_INV_AND_OTH_ASSETS,TOT_INTANGIBLE_ASSETS,TOT_ASSETS,CURR_LIABILITIES,CURR_MAT_LT_DEBT,TOT_CURR_LIABILITIES,TOT_DEF_CREDITS,TOT_LT_DEBT,CURR_MATURITIES,NET_TOT_LT_DEBT,TOT_LIABILITIES,TOT_EQUITY,TOT_LIABILITY_AND EQUITY
106580996,ADVENTIST HEALTH AND RIDEOUT,20211,2021-01-01,2021-03-31,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH ST,MARYSVILLE,95901,RICK RAWSON,221,221,185,811,186,164,1185,0,0,0,489,0,33,2868,0,3646,880,1271,8148,0,0,0,2154,0,157,16256,0,11313,1645,1661,15191,0,0,2734,7911,0,3276,43731,153232128,21311728,20282308,68693370,0,0,0,53699088,0,2105708,319324330,52970567,5726303,6806305,40600360,0,0,2058123,33444843,0,3403582,145010083,2666388,161249005,14670643,19080334,101116562,0,0,0,678333,44184127,0,2842566,0,0,0,3958689,350446647,0,0,0,0,0,44296689,12264567,7587394,8160436,0,0,501393,40425126,0,652161,113887766,2051738,128266608,0,75820,0,0,0,0,1686777,318254966.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106150788,ADVENTIST HEALTH BAKERSFIELD,20211,2021-01-01,2021-03-31,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,197,696,851,173,772,0,0,251,964,0,14,3721,0,3751,3778,1205,3004,0,0,1480,4031,0,112,17361,0,12764,3932,1315,11424,0,0,5558,15592,0,1049,51634,78830087,85319575,18988853,66044326,0,0,29055733,89898131,0,1935857,370072562,46007280,33222211,4322872,53067097,0,0,14299424,67270111,0,4307177,222496172,2463652,104649244,100017020,17212027,95386197,0,0,0,29719714,116121372,0,697227,0,0,0,11115806,477382259,0,0,0,0,0,19266922,18177109,6373352,23392349,0,0,8718750,38622232,0,635761,115186475,11018173,112548197,0,1183364,0,0,0,0,6309689,163295784.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106171049,ADVENTIST HEALTH CLEARLAKE,20211,2021-01-01,2021-03-31,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVE,CLEARLAKE,95422,DAVID SANTOS,25,25,19,147,18,19,106,0,0,7,28,0,1,326,0,697,86,62,397,0,0,34,104,0,2,1382,0,36759,1946,8390,31076,0,0,10900,5139,0,1804,96014,11432241,1634602,513667,6690879,0,0,282398,1630865,0,294154,22478806,28515922,2385547,4977112,24241916,0,0,3027572,10461391,0,1464821,75074281,1963124,24079284,2355223,650859,22901028,-168349,0,0,1560682,7107344,0,801715,0,0,0,2511353,63762263,0,1749520,0,0,1749520,14711629,1617097,4506847,8706346,0,0,1268999,4693631,0,35795,35540344,1525901,37923143,0,6271,0,0,0,0,499324,41389475.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106150706,ADVENTIST HEALTH DELANO,20211,2021-01-01,2021-03-31,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,79,115,48,80,249,0,0,38,26,11,7,574,6,2252,555,2286,1054,0,0,277,292,42,27,6785,4135,3969,2118,2262,13384,0,0,3171,1358,912,595,27769,8770558,4080026,9850302,5969923,0,0,1758561,1670820,9634,6283,32116107,2459292,1125452,1452396,8567103,0,0,3059118,993373,581382,379190,18617306,1511056,7622889,2501865,4526441,8121020,-475613,0,0,2263340,904763,0,83490,0,0,0,258395,27317646,0,0,0,0,0,3148032,2702900,6843168,6640101,0,0,2056545,1393105,382464,249452,23415767,51220,23960279,0,886907,0,0,0,0,192522,52566977.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106190323,ADVENTIST HEALTH GLENDALE,20211,2021-01-01,2021-03-31,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,277,1553,467,324,776,0,0,66,680,0,27,3893,0,10369,2777,3272,4135,0,0,330,3601,0,101,24585,0,13706,2370,1228,8024,0,0,2548,12478,0,756,41110,241813843,77366036,52389651,111523705,0,0,15638263,81706678,0,1377278,581815454,58172632,19666511,5340695,52150668,0,0,4057752,57402565,0,3007076,199797899,2268569,256861625,73510797,45865514,141973215,0,0,0,17801141,105071553,0,3276230,0,0,0,16391705,663020349,0,0,0,0,0,40990901,22210701,8683479,20498351,0,0,173611,22885127,0,3150834,118593004,4231642,142372518,0,270620,0,0,0,0,567431,189864555.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106164029,ADVENTIST HEALTH HANFORD,20211,2021-01-01,2021-03-31,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,159,690,307,231,808,0,0,161,392,0,25,2614,0,4595,2089,1357,3486,0,0,593,1737,0,130,13987,0,10792,2665,2589,20779,0,0,5289,13155,0,1247,56516,47761006,20417575,12182458,36934284,0,0,7790892,18300553,0,61063,143447831,28671932,11410584,7400958,70346933,0,0,12697519,38256130,0,5409725,174193781,3423645,58627324,23723299,7914628,81014295,-1243460,0,0,17861408,32656390,0,437396,0,0,0,8341957,232756882,0,4863453,0,0,4863453,17418400,7923295,11196507,32119277,0,0,552739,19894474,0,643491,89748183,6606517,84244584,0,3156834,0,0,0,0,1696325,170894409.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20211,2021-01-01,2021-03-31,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,26,23,253,35,16,94,0,0,23,45,0,1,467,0,1090,216,49,439,0,0,73,138,0,1,2006,0,6145,740,242,4321,0,0,2130,2365,0,461,16404,25040796,3929653,1038459,8797906,0,0,1464257,4140431,0,271214,44682716,10131583,1427261,805514,9051283,0,0,1117307,6565318,0,855896,29954162,-33966,25460810,3100679,1044716,14630978,-67313,0,0,1478948,5885585,0,467195,0,0,0,1324705,53292337,0,575087,0,0,575087,9625209,2172581,797537,3799782,0,0,709885,4733727,0,80907,21919628,594063,20834921,0,15744,0,0,0,0,263662,57507031.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106390923,ADVENTIST HEALTH LODI MEMORIAL,20211,2021-01-01,2021-03-31,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,190,190,86,512,213,146,414,0,0,82,259,0,16,1642,0,2594,1167,658,1678,0,0,216,1018,0,51,7382,0,9283,2358,1598,11081,0,0,4604,8005,0,2759,39688,84274472,37567852,14485806,48207793,0,0,5049462,33141638,0,2545424,225272447,50426911,16187556,6827665,45587528,0,0,6807469,43638344,0,4750071,174225544,3216837,118737900,47505080,16611502,82676554,0,0,0,8279224,51406734,0,521927,0,0,0,10185925,339141683,0,168716,0,0,168716,15280519,5367084,3727542,10799113,0,0,2332589,22326627,0,691550,60525024,1006648,64394905,0,336835,0,0,0,0,2761996,119727993.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106231013,ADVENTIST HEALTH MENDOCINO COAST,20211,2021-01-01,2021-03-31,Open,Mendocino,01 - Northern California,111,District,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,WAYNE ALLEN,25,25,17,102,8,3,43,0,0,34,0,0,3,193,0,640,51,22,268,0,0,216,0,0,16,1213,0,15818,1574,437,4619,0,0,4784,154,0,444,27830,3469762,276945,116725,1452092,0,0,1170109,0,0,88078,6573711,11180060,1112372,308711,3264309,0,0,3381189,108877,0,313586,19669104,66019,8936391,847483,282064,2504409,0,0,0,420975,66415,0,210768,0,0,0,29929,13364453,0,0,0,0,0,5713431,541833,143372,2182892,0,0,4097722,42462,0,156650,12878362,648942,15449991,0,0,0,0,0,0,116866,7464010.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106100797,ADVENTIST HEALTH REEDLEY,20211,2021-01-01,2021-03-31,Open,Fresno,09 - Central,607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,26,38,17,51,215,0,0,1,54,0,6,382,0,366,201,342,871,0,0,4,112,0,44,1940,0,18853,5581,11077,76913,0,0,2528,19695,0,6685,141332,1654739,1079046,1767547,5837597,0,0,49156,1128175,0,239687,11755947,9416210,3365077,4901085,35462914,0,0,1984915,11034089,0,2602570,68766860,1140086,2836122,2984703,2323015,16770402,-689308,0,0,951285,6489176,0,1105557,0,0,0,1512594,35423632,0,463717,0,0,463717,7695332,1259835,4345601,25189473,0,0,965158,5140307,0,967186,45562892,134603,41652727,0,604393,0,0,0,0,2281654,41948377.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106560525,ADVENTIST HEALTH SIMI VALLEY,20211,2021-01-01,2021-03-31,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,105,567,338,82,258,0,0,38,480,0,7,1770,0,3387,1621,556,1289,0,0,102,2084,0,30,9069,0,2550,1132,518,2578,0,0,3029,7301,0,272,17380,60414858,29654281,7021288,24321928,0,0,4754515,44233113,0,587950,170987933,15982168,9214204,3016726,13712720,0,0,1324762,27399649,0,1766736,72416965,206940,64590616,33408496,8017667,30608182,0,0,0,4386279,46589902,0,843158,0,0,0,4733821,193385061,0,0,0,0,0,12023405,5458897,1851830,7209552,0,0,923173,21790337,0,762643,50019837,1163055,52318349,0,15600,0,0,0,0,289092,130288254.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20211,2021-01-01,2021-03-31,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY RD,SONORA,95370,MICHELLE FUENTES,152,152,93,512,47,49,165,0,0,58,168,0,2,1001,7,2112,199,4470,594,0,0,257,545,0,9,8186,4615,43050,1786,4065,14365,0,0,2402,27214,0,1646,94528,51769255,4717247,5691107,14092050,0,0,5812438,14985837,0,209789,97277723,106282250,3972555,3286114,26350333,0,0,7894151,50344135,0,3138475,201268013,997690,127887828,7147086,4821694,30627704,-44023,0,0,8809343,43652074,0,383407,0,0,0,7742918,232025721,0,13263,0,0,13263,27862178,1289284,4181952,9421707,0,0,4053388,19327956,0,396813,66533278,1860669,65922932,0,1498425,0,0,0,0,278207,83832507.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106281078,ADVENTIST HEALTH ST. HELENA,20211,2021-01-01,2021-03-31,Open,Napa,03 - North Bay,407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND RD.,ST. HELENA,94574,STEVEN HERBER,151,151,63,350,65,177,125,0,0,39,76,0,3,835,0,1941,445,1547,729,0,0,179,465,0,10,5316,0,7764,419,112,1338,0,0,1344,3524,0,190,14691,74722330,11440067,13710242,25915562,0,0,3125507,20134882,0,110095,149158685,86420681,4897024,1011041,14359573,0,0,5757688,31440783,0,1083315,144970105,-1143655,139940819,13419096,11113936,35326509,-94522,0,0,6695950,39935038,0,2257081,0,0,0,1740405,249190657,0,6813669,0,0,6813669,20758878,2396203,3246051,11492689,0,0,1616330,12263305,0,-21654,51751802,2503095,59966081,0,102531,0,0,0,0,2596884,101062445.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20211,2021-01-01,2021-03-31,Open,Kern,09 - Central,623,District,Comparable,Rural,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,25,25,20,86,57,11,43,0,0,32,24,0,2,255,0,404,356,258,165,0,0,123,169,0,2,1477,0,2137,597,327,2392,0,0,5109,955,0,15,11532,4661412,3883731,1715380,2389888,0,0,1919549,2478923,0,33792,17082675,5012624,3550587,1043043,9446112,0,0,2802797,6274824,0,880685,29010672,1452141,6889121,4971207,2165948,9996718,0,0,0,3543273,4902075,0,115386,0,0,0,928353,34964222,0,0,0,0,0,2719170,2301199,528690,1760814,0,0,378999,3335352,0,104901,11129125,240267,12046970,0,88086,0,0,0,0,672082,39756970.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106540816,ADVENTIST HEALTH TULARE,20211,2021-01-01,2021-03-31,Open,Tulare,09 - Central,611,District,Comparable,,559-688-0821,869 NORTH CHERRY STREET,TULARE,93274,DAN HECKATHORNE,112,103,27,108,40,38,226,0,0,8,68,0,28,516,0,637,194,109,656,0,0,41,244,0,148,2029,0,560,226,308,2722,0,0,87,820,0,612,5335,7234858,1999687,957685,6428961,0,0,380854,2541067,0,1417157,20960269,5810528,1723943,1783397,15816049,0,0,945384,6425238,0,3666578,36171117,522582,9097406,2616733,1893618,15365671,-289236,0,0,938483,6288477,0,107375,0,0,0,1810185,38351294,0,0,0,0,0,3947976,1106895,847460,6879336,0,0,387752,2677828,0,2932845,18780092,230944,19248629,0,0,0,0,0,0,915278,6798183.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106231396,ADVENTIST HEALTH UKIAH VALLEY,20211,2021-01-01,2021-03-31,Open,Mendocino,01 - Northern California,113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,JASON WELLS,67,50,42,327,26,87,273,0,0,22,137,0,3,875,0,1611,157,280,869,0,0,95,435,0,3,3450,0,21346,2346,910,15744,0,0,8984,7461,0,1274,58065,26225252,2914728,5491765,15314565,0,0,1483290,7859005,0,549191,59837796,43553708,4979705,2299233,26967789,0,0,4239228,22170354,0,2124687,106334704,-1194193,57102351,6553402,4535349,35411459,-413231,0,0,4035242,17343294,0,1897049,0,0,0,3497624,128768346,0,10137842,0,0,10137842,12686638,1230109,2792245,16724578,0,0,1372092,12672017,0,64317,47541996,3018214,53297060,0,1090498,0,0,0,0,532370,81573081.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
